id_driver,courier_score,courier_dtype,total_orders,total_shifts,avg_orders_per_shift,days_active,experience_category,avg_time_ratio,median_time_ratio,stddev_up_ratio,pct_timer_up_expired
204168,0.30874666444129106,Авто,215,21,10.238095238095235,64,обычный,0.5845342305616325,0.5718270571827058,0.179092827372563,2.9810298102981028
44573,0.3868690352118272,Пеший,656,65,10.092307692307692,103,опытный,0.5655478871900773,0.5301837201263986,0.2157096718454247,6.513761467889909
25937,0.7382063016016641,Авто,2703,118,22.906779661016948,137,эксперт,0.5975206027453231,0.571992110453649,0.1832261958506053,4.30909467578206
71643,0.22233124508760352,Авто,128,25,5.12,49,обычный,0.6871699775807995,0.6710032327031066,0.2030641768878334,10.952380952380953
113957,0.3137154233484837,Авто,268,23,11.652173913043478,92,опытный,0.4499000858122182,0.4406896224625308,0.1391435714650569,0.672645739910314
156759,0.29986446319408977,Авто,232,29,8.0,97,обычный,0.5690213874371913,0.5426367976496511,0.1877224975005691,4.060913705583756
165997,0.34467478930565415,Авто,661,74,8.932432432432432,124,опытный,0.5707418105580976,0.553415061295972,0.172061520347703,1.6764459346186085
178356,0.47402717597921096,Авто,660,43,15.348837209302326,109,опытный,0.5206722378464479,0.5104669887278583,0.1664896105422598,2.3215821152192606
14974,0.5234415597851193,Авто,1759,103,17.07766990291262,131,эксперт,0.5180853858129212,0.5121042830540037,0.1406075687839852,0.5001667222407469
192564,0.17772690383107437,Пеший,223,32,6.96875,90,обычный,0.4636165041201414,0.4631757097212095,0.1164578290956586,0.0
165417,0.3240678240143019,Электровело,183,22,8.318181818181818,71,обычный,0.614107909620854,0.5878374843390746,0.2206494261338102,9.666666666666666
134049,0.3514382288224107,Авто,459,32,14.34375,88,опытный,0.410814761284164,0.4003359062321326,0.1218942971438803,0.0
168326,0.27718193841547173,Авто,243,27,9.0,89,обычный,0.5699008776097566,0.5611208597777304,0.1477206272133868,0.2793296089385474
190363,0.48945920121181596,Электровело,726,43,16.88372093023256,78,опытный,0.6239813984310439,0.6238095238095238,0.1589425837423566,1.36327185244587
172383,0.34498709676269634,Вело,834,88,9.477272727272728,124,опытный,0.5808274637393201,0.5737951807228916,0.1531028148873225,0.335345405767941
129262,0.3944693354033902,Авто,411,41,10.024390243902438,137,опытный,0.6113457690218995,0.5972222222222222,0.1566219176363992,3.768506056527591
135493,0.4549271637007364,Авто,466,40,11.65,123,опытный,0.657162546699317,0.6652892561983471,0.1894057850493019,2.2929936305732483
191184,0.5501332506991815,Авто,1033,52,19.865384615384617,82,опытный,0.5214742642297604,0.4976190476190476,0.1689903562812866,2.182653647329121
147502,0.43882414563861255,Авто,529,49,10.79591836734694,125,опытный,0.6786806279890352,0.6765344871654435,0.1839406096785254,3.941441441441442
209572,0.21157602593750247,Электровело,214,24,8.916666666666666,28,обычный,0.4868986950513068,0.445746306673459,0.2048728586286901,1.65016501650165
41814,0.6106803028632284,Авто,2715,134,20.261194029850746,140,эксперт,0.5067882820403019,0.5017985611510791,0.1355490365051984,0.6486244687989264
181218,0.5022981743997719,Авто,607,34,17.852941176470587,65,опытный,0.5975529565084678,0.590061122215463,0.1726257699238525,2.6923076923076925
163507,0.2501162015379056,Авто,377,45,8.377777777777778,90,опытный,0.4994533512005948,0.4851567576348278,0.1518614156417025,1.257861635220126
177663,0.3151981269653282,Авто,798,92,8.673913043478262,120,опытный,0.5518941264614318,0.5311704834605598,0.1585842719994982,1.161995898838004
157980,0.36264437401457505,Авто,589,75,7.853333333333333,137,опытный,0.6143401375370349,0.6076716563618614,0.185132989259655,3.171641791044776
154053,0.34446155721720306,Авто,280,29,9.655172413793103,105,опытный,0.5873942919894248,0.5850071443151663,0.1661762918986288,3.361344537815126
39105,0.5541525213565147,Авто,1421,91,15.615384615384617,139,опытный,0.5538372507812505,0.5189274447949527,0.2030761096262827,2.768804799261652
56837,0.39147036509290367,Авто,841,62,13.564516129032258,77,опытный,0.6054276878781191,0.5938967136150235,0.1538341473141955,1.0183299389002036
105558,0.3228779773158239,Электровело,548,44,12.454545454545457,50,опытный,0.5185786514203394,0.4988162174227286,0.1770554435748445,1.6548463356973997
38533,0.4965868506597035,Авто,594,34,17.470588235294116,96,опытный,0.5105941207137633,0.5,0.1568875791649802,1.0607521697203472
219224,0.2620350074318655,Авто,209,25,8.36,31,обычный,0.7619823994258257,0.7785714285714286,0.1652567964366492,5.597964376590331
48312,0.5360034880458928,Авто,1375,88,15.625,138,опытный,0.5873385396253449,0.5833333333333334,0.1674680652058513,1.0149830836152731
66942,0.4350843198234028,Вело,1291,98,13.173469387755102,140,опытный,0.4532752969680831,0.4272590146800323,0.1618816542891065,1.410373066424022
112687,0.3694516583803814,Авто,271,25,10.84,122,опытный,0.5592431653658253,0.5400410677618069,0.1515941438483435,1.0752688172043012
130795,0.25000117268927735,Авто,238,26,9.153846153846152,31,обычный,0.5982833384831394,0.5827067669172933,0.1866314975055762,5.104408352668213
121245,0.31354788719025883,Авто,422,43,9.813953488372093,62,опытный,0.6187545604005393,0.607238636162057,0.1855406606450632,4.714285714285714
179646,0.3026145798054645,Вело,539,68,7.926470588235294,81,опытный,0.613665407860527,0.5751376723213956,0.1956857464137326,8.718487394957982
195450,0.32527507067970024,Авто,1635,134,12.201492537313433,91,эксперт,0.4634348428028317,0.4561035250558477,0.1346983040894497,0.1923076923076923
174609,0.43835524204392484,Пеший,310,25,12.4,90,опытный,0.6463616233646188,0.6305530297289788,0.1996443982220221,6.106870229007633
205582,0.32257316419655935,Авто,421,34,12.382352941176473,58,опытный,0.5487184082010929,0.5357142857142857,0.1535183347291168,1.6689847009735743
213692,0.19294840034039482,Электровело,193,23,8.391304347826088,51,обычный,0.4530639359750786,0.4307090502063571,0.165791466779904,0.6993006993006993
58263,0.27267861142644445,Пеший,246,22,11.181818181818182,32,обычный,0.5563761255734081,0.5570826370955491,0.1680119060682202,1.6055045871559634
54094,0.17455733341213778,Электровело,108,38,2.8421052631578947,64,обычный,0.6204445863531626,0.5466351829988194,0.2258593775955946,11.64021164021164
159513,0.4202587702910149,Электровело,1263,122,10.352459016393444,139,опытный,0.5875645967915938,0.5624036606804512,0.1917320912489156,2.111324376199616
141789,0.4114815154768639,Авто,618,61,10.131147540983608,135,опытный,0.6062759961972989,0.5729847494553377,0.1799378334378551,5.492589363557106
134827,0.3970439213220462,Электровело,684,86,7.953488372093023,136,опытный,0.6615996903844288,0.6335929614427024,0.1966697537638095,9.833333333333332
216312,0.137116968721347,Электровело,439,55,7.981818181818181,38,опытный,0.4621301770817434,0.4476190476190476,0.1270390097654371,0.2670226969292389
90589,0.4302743844481952,Авто,1292,96,13.458333333333334,139,опытный,0.4581697403344857,0.4406706049921778,0.146663496344496,0.6739679865206403
171993,0.6823660394808007,Авто,2529,116,21.80172413793104,110,эксперт,0.6821226280707181,0.67,0.1614561936229152,5.312868949232586
175872,0.5155705727213231,Авто,1513,123,12.30081300813008,124,эксперт,0.6995993132049263,0.6890184645286687,0.2004694611275768,12.83594063377457
196203,0.23646106497378294,Электровело,385,48,8.020833333333334,89,опытный,0.4870746363221184,0.4646271510516252,0.15744707753659,0.2886002886002886
